City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,ahipara,-35.1667,173.1667,67.75,55,0,12.28,NZ,1680571947
299,nalut,30.3333,10.85,51.42,40,0,4.94,LY,1680571947
300,turukhansk,65.8167,87.9833,-12.93,91,27,6.71,RU,1680571948
301,kalmunai,7.4167,81.8167,79.65,80,5,6.85,LK,1680571949
302,arraial do cabo,-22.9661,-42.0278,71.56,83,75,2.3,BR,1680571934
303,irbeyskoye,55.6428,95.4522,31.23,77,100,18.88,RU,1680571949
304,iquique,-20.2208,-70.1431,77.04,84,6,1.3,CL,1680571839
305,faanui,-16.4833,-151.75,82.62,72,99,8.28,PF,1680571950
306,tocopilla,-22.092,-70.1979,73.15,83,0,4.74,CL,1680571950
307,hokitika,-42.7167,170.9667,59.72,70,14,6.11,NZ,1680571951
308,richards bay,-28.783,32.0377,72.43,75,100,14.92,ZA,1680571951
309,manaure,11.7751,-72.4445,78.8,77,1,20.47,CO,1680571952
310,sao felix do xingu,-6.6447,-51.995,72.3,95,98,0.89,BR,1680571949
311,itarema,-2.9248,-39.9167,75.22,88,100,0.4,BR,1680571952
312,rockland,41.1668,-74.0496,56.25,71,45,8.25,US,1680571811
313,marawi,7.9986,124.2928,78.21,56,76,4.83,PH,1680571953
314,londonderry,54.9981,-7.3093,44.19,84,100,10.74,GB,1680571953
315,ankazoabo,-22.2833,44.5167,69.31,89,0,1.66,MG,1680571953
316,monrovia,6.3005,-10.7969,74.97,83,67,1.23,LR,1680571954
317,tezu,27.9167,96.1667,69.89,56,99,0.67,IN,1680571955
318,wanning,18.8003,110.3967,81.68,76,48,15.82,CN,1680571955
319,boguchany,58.3814,97.4531,32.18,94,100,7.25,RU,1680571956
320,cockburn town,21.4612,-71.1419,77.5,75,0,20.56,TC,1680571957
321,salinopolis,-0.6136,-47.3561,75.56,91,100,5.97,BR,1680571958
322,kaitangata,-46.2817,169.8464,64.92,57,41,6.38,NZ,1680571958
323,marrakesh,31.6315,-8.0083,60.87,39,0,5.75,MA,1680571958
324,yokadouma,3.5167,15.05,68.9,96,100,1.72,CM,1680571960
325,palmer,42.1584,-72.3287,48.81,62,75,9.22,US,1680571960
326,brigantine,39.4101,-74.3646,53.01,86,0,9.22,US,1680571961
327,longfeng,46.55,125.1167,40.48,14,98,13.49,CN,1680571961
328,puerto colombia,10.9878,-74.9547,78.89,87,15,32.64,CO,1680571963
329,barranca,-10.75,-77.7667,76.51,79,100,8.08,PE,1680571963
330,mishkino,55.3389,63.9175,35.24,75,19,4.97,RU,1680571963
331,dali,25.7,100.1833,57.79,50,24,5.35,CN,1680571964
332,kruisfontein,-34.0033,24.7314,61.88,84,75,8.99,ZA,1680571964
333,port blair,11.6667,92.75,81.66,68,100,5.14,IN,1680571964
334,carinhanha,-14.3047,-43.765,72.23,74,88,4.32,BR,1680571964
335,borger,52.9233,6.7931,35.78,83,99,5.95,NL,1680571965
336,yurginskoye,56.8189,67.3921,33.57,78,60,3.98,RU,1680571965
337,westport,41.1415,-73.3579,50.74,76,0,12.66,US,1680571845
338,snyder,32.7179,-100.9176,82.74,3,0,8.05,US,1680571965
339,pullman,46.7313,-117.1796,39.43,91,100,13.0,US,1680571965
340,chalmette,29.9427,-89.9634,79.0,86,20,13.8,US,1680571966
341,kayerkan,69.3497,87.7602,-15.48,75,100,6.91,RU,1680571966
342,victoria,22.2855,114.1577,77.43,93,33,1.01,HK,1680571815
343,vila velha,-20.3297,-40.2925,76.95,77,75,5.75,BR,1680571966
344,sa kaeo,13.75,102.3333,87.8,55,8,10.16,TH,1680571966
345,waw,7.7029,27.9953,77.72,17,28,1.88,SS,1680571966
346,rundu,-17.9333,19.7667,65.07,64,71,0.76,NA,1680571967
347,thompson,55.7435,-97.8558,14.16,37,40,3.44,CA,1680571967
348,aloleng,16.1307,119.7824,83.95,65,17,6.11,PH,1680571967
349,korla,41.7597,86.1469,33.01,16,0,11.14,CN,1680571967
350,guerrero negro,27.9769,-114.0611,57.07,71,3,23.85,MX,1680571968
351,mbuji-mayi,-6.15,23.6,69.37,95,100,1.05,CD,1680571968
352,yining,29.0361,114.5636,66.16,92,100,0.94,CN,1680571968
353,suifenhe,44.4,131.1667,53.87,26,100,4.29,CN,1680571968
354,harper,4.375,-7.7169,77.34,89,100,2.91,LR,1680571969
355,batagay,67.6333,134.6333,14.07,81,100,1.66,RU,1680571969
